listing_key,name,category,subcategory,community,region,lat,lon,tier,website,address,price_band,ownership,notability,rider_delight,indigenous_role,osm_id,origin,google_place_id,google_place_id_match_km,wow_evidence,description
000199afe8,Tim Hortons,Food & Drink,Fast Food / Chain,Victoria,Vancouver Island,48.4309981,-123.323964,welcoming,https://www.timhortons.ca,"1950 Foul Bay Road, V8R 5A7",Cheap eats,Global chain,,,,n5212620396,chain,ChIJvUrJvIV0j1QROPRZilj1WUM,0.2,,
0002aafb9c,FreshCo,Groceries,Grocery Store,Langley,"Vancouver, Coast and Mountains",49.0568006,-122.4607132,info,https://www.freshco.com/,,,Buy Canadian,,,,n10099982353,chain,,,,
0004c8c16f,Nikkei National Museum & Cultural Centre,Attractions,Museum / Gallery,Burnaby,"Vancouver, Coast and Mountains",49.2176301,-122.9645947,info,https://centre.nikkeiplace.org/,"6688 Southoaks Crescent, Burnaby, BC V5E 4M7",Free,Public,3,2,,w466225887,osm,ChIJLyeICDV2hlQRLTTkKjyW6co,0.0,"National-scope museum of Japanese Canadian history with garden, archive, and cultural campus — living institution, scored normally (not a memorial site).","The Nikkei National Museum & Cultural Centre preserves and shares the history and heritage of Japanese Canadians, housed in a multi-use campus in Burnaby that includes a Japanese Canadian garden, gallery spaces, and a research archive. Its permanent exhibit TAIKEN explores generations of resilience, and rotating exhibits highlight community stories. The campus also hosts a Japanese bookstore, a gift shop, and Suzuya Japanese Market."
000ae576bc,Cactus Club Cafe,Food & Drink,Restaurant,West Vancouver,"Vancouver, Coast and Mountains",49.325981,-123.142336,info,https://www.cactusclubcafe.com/,,Casual,Buy BC (chain),,,,n5587643091,chain,,,,
0014ee1a06,Save-On-Foods,Groceries,Grocery Store,Langford,Vancouver Island,48.4590138,-123.4998391,info,https://www.saveonfoods.com,759 McCallum Road,,Buy BC (chain),,,,w436172955,chain,,,,
0019390831,KFC,Food & Drink,Fast Food / Chain,Vancouver,"Vancouver, Coast and Mountains",49.2795635,-123.1223302,welcoming,https://www.kfc.ca/,,Cheap eats,Global chain,,,,n13632831569,chain,ChIJ6Qk_MlpxhlQRpammmuxWmZ0,1.9,,
001d8d80bb,Riverside Recreation Site,Camping,Public Campground,Fording,Kootenay Rockies,50.4794408,-114.9644807,info,https://www.sitesandtrailsbc.ca/resource/REC2038,,,Provincial rec site,0,,,w168089027,camping_only,,,reached by 155 km of forest service road north of Elkford,"A small, partially treed free rec site directly on the Elk River, reached by 155 km of forest service road north of Elkford — remote and peaceful, with 3 sites and no confirmed services."
001fdfe756,Intermezzo Restaurant,Food & Drink,Restaurant,Vernon,Thompson Okanagan,50.2666168,-119.2747599,info,https://intermezzowinecellar.com,"3206 34th Ave, Vernon, BC V1T 7E2",Upscale,Buy BC (independent),2,,,n6588079168,osm,,,"fine-dining fixture in downtown Vernon since 1977, operating as a family-run establishment","Intermezzo Restaurant and Wine Cellar has been a fine-dining fixture in downtown Vernon since 1977, operating as a family-run establishment with everything made in-house from scratch. The menu draws on global inspiration — Moroccan lamb, West Coast seafood, house-made gnocchi — paired with a cellar of over 100 wines including many Okanagan labels. A sister venue, The Castle Bistro, operates about 8 minutes north of the downtown location."
00202818a9,Esso,Groceries,Convenience Store,Merritt,Thompson Okanagan,50.1242947,-120.7603825,info,https://www.esso.ca/,"3683 DeWolf Way, Merritt, V1K 1C4",,Global chain,,,,w545489009,chain,,,,
0022386744,McDonald's,Food & Drink,Fast Food / Chain,Burnaby,"Vancouver, Coast and Mountains",49.2667259,-123.0020174,welcoming,https://www.mcdonalds.com/ca/en-ca/location/burnaby/brentwood-town-centre/p2501-4501-lougheed-highway/40554.html,"4501 Lougheed Highway, Burnaby",Cheap eats,Global chain,0,,,w1503888822,osm,ChIJSxi51iV3hlQR0T8nbv0Rmfw,0.8,,"This McDonald's occupies a two-level building on Lougheed Highway in Burnaby's Brentwood corridor, a major east-west arterial connecting communities across the lower mainland. It offers both indoor and outdoor seating, making it a practical rest stop for cyclists passing through. Vegetarian menu items are available, and the location supports delivery via multiple third-party platforms."
