from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Abbotsford,abbotsford,Alert Bay,alert-bay,375,TRUE,FALSE,6,6,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, city bus, then ferry.",7,local-bus; skytrain; ferry; local-bus; rental-car; local-bus; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited
Abbotsford,abbotsford,Armstrong,armstrong,271,TRUE,TRUE,6,6,5,2,bus; bus,Ebus,334.0,,TRUE,"Coach bus, then coach bus.",2,bus; bus,Ebus,334.0,
Abbotsford,abbotsford,Barkerville,barkerville,450,TRUE,TRUE,1,1,1,3,bus; bus; local-bus,Ebus; BC Transit,653.1,limited,FALSE,"Coach bus, coach bus, then city bus.",3,bus; bus; local-bus,Ebus; BC Transit,653.1,limited
Abbotsford,abbotsford,Bella Bella,bella-bella,539,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Bella Coola,bella-coola,485,TRUE,FALSE,7,7,0,,,,,,,"City bus, SkyTrain, ferry, city bus, rental car, then ferry.",6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,seasonal
Abbotsford,abbotsford,Bowen Island,bowen-island,84,TRUE,TRUE,7,7,7,3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,87.7,,TRUE,"Coach bus, city bus, then ferry.",3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,87.7,
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,101,TRUE,TRUE,12,12,12,4,bus; skytrain; local-bus; ferry,Mountain Man Mike's; TransLink; BC Ferries,,limited,TRUE,"City bus, SkyTrain, city bus, then ferry.",4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,
Abbotsford,abbotsford,Burnaby,burnaby,56,TRUE,TRUE,6,6,6,1,bus,BC Transit,58.0,,TRUE,"One city bus, straight through.",1,local-bus,BC Transit,58.4,
Abbotsford,abbotsford,Burns Lake,burns-lake,624,TRUE,TRUE,7,7,6,3,bus; bus; intercity-train,Ebus; VIA Rail,892.7,limited,FALSE,"Coach bus, coach bus, then train.",3,bus; bus; intercity-train,Ebus; VIA Rail,892.7,limited
Abbotsford,abbotsford,"Calgary, AB",calgary,627,TRUE,TRUE,2,2,1,1,bus,Ebus,728.9,,TRUE,"One coach bus, straight through.",1,bus,Ebus,728.9,
