route_id,mode,operator,route_name,region,frequency,n_stops,origin,destination,in_connection_model,not_in_model_because,counts_for_connectivity,bikes_carried,rider_note
air:CMA01,air,Central Mountain Air,Vancouver – Williams Lake,Cariboo,,2,Vancouver,Williams Lake,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:CMA02,air,Central Mountain Air,Vancouver – Quesnel,Cariboo,,2,Vancouver,Quesnel,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:CMA03,air,Central Mountain Air,Quesnel – Williams Lake,Cariboo,,2,Quesnel,Williams Lake,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:CMA04,air,Central Mountain Air,Prince George – Kelowna,Northern Interior,,2,Prince George,Kelowna,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:CMA05,air,Central Mountain Air,Prince George – Terrace,Northern Interior,,2,Prince George,Terrace,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:CMA06,air,Central Mountain Air,Prince George – Fort Nelson,Northern Interior,,2,Prince George,Fort Nelson,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:HA01,air,Harbour Air,Vancouver Harbour – Victoria Harbour,Vancouver Island,daily,2,Vancouver (Coal Harbour),Victoria,TRUE,,FALSE,"yes, with conditions",
air:HA02,air,Harbour Air,Vancouver Harbour – Nanaimo Harbour,Vancouver Island,daily,2,Vancouver (Coal Harbour),Nanaimo,TRUE,,FALSE,"yes, with conditions",
air:HA03,air,Harbour Air,Vancouver Harbour – Salt Spring (Ganges),Gulf Islands,daily,2,Vancouver (Coal Harbour),Salt Spring Island,TRUE,,FALSE,"yes, with conditions",
air:HA04,air,Harbour Air,Vancouver Harbour – Sechelt,Sunshine Coast,,2,Vancouver (Coal Harbour),Sechelt,TRUE,,FALSE,"yes, with conditions",
air:HA05,air,Harbour Air,Vancouver Harbour – Whistler,Sea-to-Sky,,2,Vancouver (Coal Harbour),Whistler,TRUE,,FALSE,"yes, with conditions",
air:HA06,air,Harbour Air,Vancouver Harbour – Comox,Vancouver Island,daily,2,Vancouver (Coal Harbour),Comox,TRUE,,FALSE,"yes, with conditions",
air:HA07,air,Harbour Air,Vancouver Harbour – Tofino,Vancouver Island,,2,Vancouver (Coal Harbour),Tofino,TRUE,,FALSE,"yes, with conditions",
air:HA08,air,Harbour Air,Vancouver Harbour – Powell River (seasonal),Sunshine Coast,,2,Vancouver (Coal Harbour),Powell River,TRUE,,FALSE,"yes, with conditions",Seasonal service.
air:HA09,air,Harbour Air,"Vancouver Harbour – Campbell River (new, seasonal from Jul 2026)",Vancouver Island,seasonal-varies,2,Vancouver (Coal Harbour),Campbell River,TRUE,,FALSE,"yes, with conditions","New route, seasonal from July 2026."
air:HA10,air,Harbour Air,Vancouver Harbour – Ucluelet (new from Jun 2026),Vancouver Island,,2,Vancouver (Coal Harbour),Ucluelet,TRUE,,FALSE,"yes, with conditions",New route from June 2026.
air:HA11,air,Harbour Air,Victoria Harbour – Nanaimo Harbour,Vancouver Island,,2,Victoria,Nanaimo,FALSE,reviewed and set aside,FALSE,"yes, with conditions",
air:HA12,air,Harbour Air,Victoria Harbour – Salt Spring (Ganges),Gulf Islands,,2,Victoria,Salt Spring Island,TRUE,,FALSE,"yes, with conditions",
air:HA13,air,Harbour Air,Sechelt – Nanaimo Harbour (seasonal from May 2026),Sunshine Coast,,2,Sechelt,Nanaimo,TRUE,,FALSE,"yes, with conditions","Seasonal, from May 2026."
air:HA14,air,Harbour Air,Sechelt – Powell River (seasonal from Apr 2026),Sunshine Coast,,2,Sechelt,Powell River,TRUE,,FALSE,"yes, with conditions","Seasonal, from April 2026."
air:HA15,air,Harbour Air,Vancouver (YVR South) – Victoria (wheeled),Vancouver Island,,2,Vancouver,Victoria,TRUE,,FALSE,"yes, with conditions","Wheeled aircraft from YVR South terminal, not the downtown harbour."
air:HA16,air,Harbour Air,"Vancouver (YVR South) – Tofino-Long Beach (wheeled, seasonal)",Vancouver Island,,2,Vancouver,Tofino,TRUE,,FALSE,"yes, with conditions",Wheeled aircraft from YVR South terminal; seasonal.
air:HJ01,air,Helijet,Vancouver Harbour – Victoria Harbour,Vancouver Island,,2,Vancouver,Victoria,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:HJ02,air,Helijet,Vancouver Harbour – Nanaimo Harbour,Vancouver Island,,2,Vancouver,Nanaimo,FALSE,we could not confirm the operator carries bikes,FALSE,unknown,
air:PCA01,air,Pacific Coastal Airlines,Vancouver – Victoria,Vancouver Island,,2,Vancouver,Victoria,TRUE,,FALSE,"yes, with conditions",
air:PCA02,air,Pacific Coastal Airlines,Vancouver – Comox,Vancouver Island,daily,2,Vancouver,Comox,TRUE,,FALSE,"yes, with conditions",
air:PCA03,air,Pacific Coastal Airlines,Vancouver – Campbell River,Vancouver Island,daily,2,Vancouver,Campbell River,TRUE,,FALSE,"yes, with conditions",
air:PCA04,air,Pacific Coastal Airlines,Vancouver – Nanaimo,Vancouver Island,daily,2,Vancouver,Nanaimo,TRUE,,FALSE,"yes, with conditions",
air:PCA05,air,Pacific Coastal Airlines,Vancouver – Tofino,Vancouver Island,,2,Vancouver,Tofino,TRUE,,FALSE,"yes, with conditions",
air:PCA06,air,Pacific Coastal Airlines,Vancouver – Powell River,Sunshine Coast,,2,Vancouver,Powell River,TRUE,,FALSE,"yes, with conditions",
air:PCA07,air,Pacific Coastal Airlines,Vancouver – Port Hardy,North Island,,2,Vancouver,Port Hardy,TRUE,,FALSE,"yes, with conditions",
air:PCA08,air,Pacific Coastal Airlines,Vancouver – Bella Bella,Central Coast,,2,Vancouver,Bella Bella,TRUE,,FALSE,"yes, with conditions",
air:PCA09,air,Pacific Coastal Airlines,Vancouver – Bella Coola,Central Coast,,2,Vancouver,Bella Coola,TRUE,,FALSE,"yes, with conditions",
air:PCA10,air,Pacific Coastal Airlines,Vancouver – Anahim Lake,Central Coast,,2,Vancouver,Anahim Lake,TRUE,,FALSE,"yes, with conditions",
air:PCA11,air,Pacific Coastal Airlines,Vancouver – Williams Lake,Cariboo,,2,Vancouver,Williams Lake,TRUE,,FALSE,"yes, with conditions",
air:PCA12,air,Pacific Coastal Airlines,Vancouver – Quesnel,Cariboo,,2,Vancouver,Quesnel,TRUE,,FALSE,"yes, with conditions",
air:PCA13,air,Pacific Coastal Airlines,Vancouver – Masset,Haida Gwaii,,2,Vancouver,Masset,TRUE,,FALSE,"yes, with conditions",
air:PCA14,air,Pacific Coastal Airlines,Bella Coola – Anahim Lake,Central Coast,,2,Bella Coola,Anahim Lake,TRUE,,FALSE,"yes, with conditions",
air:PCA15,air,Pacific Coastal Airlines,Victoria – Kelowna,Interior,,2,Victoria,Kelowna,TRUE,,FALSE,"yes, with conditions",
air:PCA16,air,Pacific Coastal Airlines,Victoria – Kamloops,Interior,,2,Victoria,Kamloops,TRUE,,FALSE,"yes, with conditions",
air:PCA17,air,Pacific Coastal Airlines,Victoria – Prince George,Northern Interior,,2,Victoria,Prince George,TRUE,,FALSE,"yes, with conditions",
