route_id,stop_sequence,stop_name,community,node_id,stop_lat,stop_lon,location_type,location_precision
air:CMA01,1,YVR,Vancouver,yvr,49.1945,-123.18386,airport,stop
air:CMA01,2,YWL,Williams Lake,ywl,52.1831,-122.0542,airport,stop
air:CMA02,1,YVR,Vancouver,yvr,49.1945,-123.18386,airport,stop
air:CMA02,2,YQZ,Quesnel,yqz,53.0261,-122.5103,airport,stop
air:CMA03,1,YQZ,Quesnel,yqz,53.0261,-122.5103,airport,stop
air:CMA03,2,YWL,Williams Lake,ywl,52.1831,-122.0542,airport,stop
air:CMA04,1,YXS,Prince George,yxs,53.8894,-122.6789,airport,stop
air:CMA04,2,YLW,Kelowna,ylw,49.9561,-119.3778,airport,stop
air:CMA05,1,YXS,Prince George,yxs,53.8894,-122.6789,airport,stop
air:CMA05,2,YXT,Terrace,yxt,54.4686,-128.5764,airport,stop
air:CMA06,1,YXS,Prince George,yxs,53.8894,-122.6789,airport,stop
air:CMA06,2,YYE,Fort Nelson,yye,,,,
air:HA01,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA01,2,Victoria Harbour,Victoria,victoria-harbour,48.4238,-123.3711,dock,stop
air:HA02,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA02,2,Nanaimo Harbour,Nanaimo,nanaimo-harbour,49.1661,-123.9307,dock,stop
air:HA03,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA03,2,Ganges,Salt Spring Island,ganges,48.8531,-123.4976,dock,stop
air:HA04,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA04,2,Porpoise Bay,Sechelt,porpoise-bay,49.4828,-123.7575,dock,stop
air:HA05,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA05,2,Green Lake,Whistler,green-lake,50.1436,-122.9489,dock,stop
air:HA06,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA06,2,Comox Harbour,Comox,comox-harbour,49.6712,-124.9296,dock,stop
air:HA07,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA07,2,Tofino Harbour,Tofino,tofino-harbour,49.1509,-125.8954,dock,stop
air:HA08,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA08,2,Powell Lake,Powell River,powell-lake,49.8852,-124.5446,dock,stop
air:HA09,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
air:HA09,2,Campbell River Harbour,Campbell River,campbell-river-harbour,50.0458,-125.2552,dock,stop
air:HA10,1,CXH,Vancouver (Coal Harbour),cxh,49.2889,-123.1217,airport,stop
